legacy_codigo,cnpj,nome,cidade,estado,telefone,fonte,metodo
000001,75030700000128,COLOMBOCAL LTDA.,COLOMBO,PR,041 36563737,BdGeral.Mdb:Geral,colunas_nomeadas
000002,79348207000101,SOLOFINO IND E COM DE CAL E CALCÁRIO LTDA,COLOMBO,PR,041 36563212,BdGeral.Mdb:Geral,colunas_nomeadas
000003,75030700000209,COLOMBOCAL LTDA (FILIAL),RIO BRANCO DO SUL,PR,041 36563737,BdGeral.Mdb:Geral,colunas_nomeadas
000004,79348207000292,SOLOFINO IND E COM DE CAL E CALC LTDA. (FILIAL),CERRO AZUL,PR,041 36563737,BdGeral.Mdb:Geral,colunas_nomeadas
000005,79191706000138,TRANSMOTIN TRANSPORTES RODOVIARIOS LTDA,COLOMBO,PR,041 36563737,BdGeral.Mdb:Geral,colunas_nomeadas
000024,03192722000183,PORTOES ART STYLO CARP. E MARCENARIA LTDA M.E.,ITANHAEM,SP,013 34277075,BdGeral.Mdb:Geral,colunas_nomeadas
000026,77985042000153,A.J. DO CARMO E CIA LTDA.,MARINGA,PR,044 32229523,BdGeral.Mdb:Geral,colunas_nomeadas
000027,92189695000543,ORBID S/A INDÚSTRIA E COMÉRCIO.,CURITIBA,PR,041 33013301,BdGeral.Mdb:Geral,colunas_nomeadas
000029,01331730000138,A. AVELINO NUNES MATERIAIS P/ CONSTRUÇÃO M.E.,MARINGA,PR,044 32592727,BdGeral.Mdb:Geral,colunas_nomeadas
000210,84871011000137,A.R.S.S. INDÚSTRIA E COM. DE LAGES LTDA,MARINGA,PR,044 32285755,BdGeral.Mdb:Geral,colunas_nomeadas
000211,00457320000175,COMÉRCIO DE MADEIRAS BROTTO LTDA.,ALMIRANTE TAMANDARE,PR,041 36573315,BdGeral.Mdb:Geral,colunas_nomeadas
000214,01676697000188,ATACADÃO DE CIMENTO J.R. LTDA.,MARINGA,PR,044 32675357,BdGeral.Mdb:Geral,colunas_nomeadas
000218,79132478000125,DEPÓSITO ALVORADA LTDA.,MARINGA,PR,044 30316722,BdGeral.Mdb:Geral,colunas_nomeadas
000221,85038347000186,SÉRGIO L. POTRICH.,SARANDI,PR,044 32745563,BdGeral.Mdb:Geral,colunas_nomeadas
000222,82268905000101,CIKALMEDE COM. DE MATERIAIS P/ CONSTRUÇÃO LTDA.,MARINGA,PR,044 32655622,BdGeral.Mdb:Geral,colunas_nomeadas
000223,81719213000170,COMÉRCIO DE MATERIAIS DE CONSTR. 3F LTDA.,MARINGA,PR,044 32684113,BdGeral.Mdb:Geral,colunas_nomeadas
000224,79045134000189,COMÉRCIO DE MATERIAIS P/ CONSTR. MIOSÓTES LTDA.,MARINGA,PR,044 32638677,BdGeral.Mdb:Geral,colunas_nomeadas
000225,00613904000192,CADAN E LEME MATERIAIS PARA CONSTRUÇÃO LTDA,MARINGA,PR,044 32681091,BdGeral.Mdb:Geral,colunas_nomeadas
000227,04739282000102,DEPÓSITO CENTRAL ONO MAT. DE CONSTRUÇÃO LTDA M.E.,PAICANDU,PR,044 32442213,BdGeral.Mdb:Geral,colunas_nomeadas
000228,03430585000178,ENDEAL ENGENHARIA E CONSTRUÇÕES LTDA.,SAO JOSE DOS PINHAIS,PR,041 32660259,BdGeral.Mdb:Geral,colunas_nomeadas
000230,78433703000109,DEPÓSITO DE MATERIAIS CONSTR. MANTOVANI LTDA.,MARINGA,PR,044 32248463,BdGeral.Mdb:Geral,colunas_nomeadas
000231,08653132000124,SILUX INDÚSTRIA E COMÉRCIO DE TINTAS LTDA M.E.,SAO JOSE DO RIO PRETO,SP,017 21362400,BdGeral.Mdb:Geral,colunas_nomeadas
000232,85042885000144,DEPÓSITO DE MATERIAIS P/ CONSTR. UFADE LTDA.,MARINGA,PR,,BdGeral.Mdb:Geral,colunas_nomeadas
000233,81213134000192,MARIO SAVELLI MARQUES.,MARINGA,PR,044 32654646,BdGeral.Mdb:Geral,colunas_nomeadas
000234,79582755000100,MARINGÁ VERDE MATERIAIS P/ CONSTRUÇÃO LTDA.,MARINGA,PR,044 32653737,BdGeral.Mdb:Geral,colunas_nomeadas
000235,01125486000157,RONA MATERIAIS P/ CONSTRUÇÃO LTDA.,MARINGA,PR,044 32631112,BdGeral.Mdb:Geral,colunas_nomeadas
000236,63000376000116,UBALDINO PEREIRA DE ANDRADE MAT. P/ CONSTR. M.E.,SAO PAULO,SP,011 58313444,BdGeral.Mdb:Geral,colunas_nomeadas
000237,00278768000121,"R.G.K. CONSTRUÇÕES, MONTAGENS E EMPREEND. LTDA.",PINHAIS,PR,041 36684848,BdGeral.Mdb:Geral,colunas_nomeadas
000238,82471582000159,SOL DO VALE MATERIAIS DE CONSTRUÇÃO LTDA.,MARINGA,PR,044 32635161,BdGeral.Mdb:Geral,colunas_nomeadas
000239,76457902000113,TAROBÁ ATAC. DE MAT. DE CONSTRUÇÃO LTDA.,MARINGA,PR,044 32250225,BdGeral.Mdb:Geral,colunas_nomeadas
000241,00674149000156,DALMEIDA COMÉRCIO DE MATERIAIS DE CONSTR. LTDA.,CAMPO MOURAO,PR,044 35241616,BdGeral.Mdb:Geral,colunas_nomeadas
000242,80593049000134,L.C. SOAVINSKI E CIA LTDA.,CAMPO MOURAO,PR,044 35251314,BdGeral.Mdb:Geral,colunas_nomeadas
000243,01340849000177,DEPÓSITO TROPICAL MATERIAIS P/ CONSTRUÇÃO LTDA.,MARINGA,PR,044 32591414,BdGeral.Mdb:Geral,colunas_nomeadas
000244,01343481000109,DEPÓSITO DE MATERIAIS DE CONSTR. RIBEIRAÇO LTDA.,MARINGA,PR,044 32685246,BdGeral.Mdb:Geral,colunas_nomeadas
000245,04655784000147,SILVIO CANI IND.E COM. DE CIM.E MAT. CONSTR. LTDA.,BARRA VELHA,SC,047 34562140,BdGeral.Mdb:Geral,colunas_nomeadas
000246,77456382000197,DEPÓSITO NEGRI MATERIAIS PARA CONSTRUÇÃO LTDA.,MARINGA,PR,044 30291506,BdGeral.Mdb:Geral,colunas_nomeadas
000247,81709974000140,MARES COMÉRCIO DE MATERIAIS DE CONSTRUÇÃO LTDA.,MARINGA,PR,044 32282071,BdGeral.Mdb:Geral,colunas_nomeadas
000248,68762038000135,A P DALE LUQUE COM. DE MAT. DE CONSTRUÇÕES EIRELI,MARINGA,PR,044 32682331,BdGeral.Mdb:Geral,colunas_nomeadas
000249,77279495000164,DEBAITA COMÉRCIO DE MATERIAIS P/ CONSTRUÇÃO LTDA.,MARINGA,PR,044 32684646,BdGeral.Mdb:Geral,colunas_nomeadas
000250,00737039000196,DALA COSTA REIFUR LTDA.,MARINGA,PR,044 32248117,BdGeral.Mdb:Geral,colunas_nomeadas
000251,01547787000179,DEPÓSITO HORTÊNCIA MATERIAIS P/ CONSTRUÇÃO LTDA.,MARINGA,PR,044 32654141,BdGeral.Mdb:Geral,colunas_nomeadas
000252,82306283000169,E.K.M. FORCELI MATERIAIS P/ CONSTRUÇÃO LTDA.,MARINGA,PR,044 32551515,BdGeral.Mdb:Geral,colunas_nomeadas
000253,73460453000174,ELIZANGELA CRUZ FARIA E CIA LTDA.,CAMPO MOURAO,PR,044 35231530,BdGeral.Mdb:Geral,colunas_nomeadas
000254,82468646000162,F.G. COMÉRCIO DE MATERIAIS P/ CONSTRUÇÃO LTDA.,MARINGA,PR,044 32622288,BdGeral.Mdb:Geral,colunas_nomeadas
000255,02044874000176,FABIO CAZARIN M.E.,CAMPO MOURAO,PR,044 35233942,BdGeral.Mdb:Geral,colunas_nomeadas
000256,03170899000189,LEENEKER COMÉRCIO MATERIAIS P/ CONSTRUÇÃO LTDA.,SAO PAULO,SP,011 55895784,BdGeral.Mdb:Geral,colunas_nomeadas
000257,85511301000132,FRANCHETTI E CIA LTDA M.E.,MARINGA,PR,044 32281581,BdGeral.Mdb:Geral,colunas_nomeadas
000258,79597571000105,IRMAOS BORTOLATO E CIA LTDA EPP.,MARINGA,PR,044 32636511,BdGeral.Mdb:Geral,colunas_nomeadas
000259,79558607000141,H. SILVA COMÉRCIO DE MAT. DE CONSTR. LTDA.,MARINGA,PR,044 32286474,BdGeral.Mdb:Geral,colunas_nomeadas
000260,79790929000111,INCOLAJES COM. DE MAT. PARA CONSTRUÇÃO LTDA.,MARINGA,PR,044 32637500,BdGeral.Mdb:Geral,colunas_nomeadas
000261,02472122000106,TATHIANA COMERCIAL LTDA.,SAO PAULO,SP,011 55727715,BdGeral.Mdb:Geral,colunas_nomeadas
000262,02921108000142,NICOLAU MATERIAIS P/ CONSTRUÇÃO LTDA.,MARINGA,PR,044 32685050,BdGeral.Mdb:Geral,colunas_nomeadas
000263,02146940000119,J.R. ARAUJO E CIA LTDA.,MARINGA,PR,044 32281091,BdGeral.Mdb:Geral,colunas_nomeadas
000264,47111562000176,IMIGRANTES COM. DE BLOCOS E MAT. CONSTR. LTDA M.E.,SAO PAULO,SP,011 50774234,BdGeral.Mdb:Geral,colunas_nomeadas
000265,03047596000173,NEUSA BELENKI RODRIGUES CONSTRUÇÕES.,CAMPO MOURAO,PR,044 35253738,BdGeral.Mdb:Geral,colunas_nomeadas
